FlatSize,Speed,Repeat,RMS,Peak,CrestFactor,Kurtosis,Skewness,ShapeFactor,ImpulseFactor,SpectralEntropy,BandEnergy_0_200Hz,BandEnergy_200_1000Hz,BandEnergy_1000_3000Hz,FFT_PeakFreq,STFT_SpectralEntropy,CWT_SpectralEntropy
25,5,0,29.78307115774111,791.966310886527,26.591156657149575,181.72153076087776,10.40526641026585,2.3006452488577374,61.17681822490296,6.274279763130491,0.6063856684437463,0.3165288818296668,0.07708544972658678,46.66666666666667,4.555041895115835,4.788397687310173
25,5,1,15.748721373473202,263.11896778223297,16.707322552891483,58.803521079476745,5.421682027990929,1.7734899947318468,29.630269386310783,5.9221414477185395,0.6847533395522201,0.2348190954747615,0.08042756497301848,93.33333333333334,4.224876540342849,4.438474894994943
25,5,2,15.73958527199895,258.9240534757715,16.450500378583847,62.038610257521164,5.586986074972457,1.762957584844692,29.00153441691487,5.937773775690272,0.6812390023707585,0.2348697072687005,0.08389129036054087,93.33333333333334,4.259016124275979,4.443177171016518
25,5,3,19.539749590677765,366.71399044955217,18.767589049580657,62.18935852184124,5.772473355480233,1.8178358703431121,34.11639657418632,6.118069955334931,0.6429514230361623,0.2756507384299005,0.08139783853393728,93.33333333333334,4.320859540915406,4.536455281989688
25,5,4,23.765996374738734,492.6995215472228,20.731279841097727,93.96601221618687,7.134657682260718,2.0064310791222577,41.59588418315922,6.039119484260904,0.6525118239469547,0.2863717920670138,0.0611163839860315,53.333333333333336,4.242675502516704,4.561616154542415
25,5,5,15.55793402805236,254.88810193081125,16.38315868104499,57.75419525251918,5.465291705432463,1.8313251698796407,30.002890854729824,5.848825902288828,0.6895582130112614,0.23757591710106762,0.07286586988767094,93.33333333333334,4.162305359813263,4.447827425091682
25,5,6,19.17758691109064,296.08689249919644,15.439215260600157,49.94124760039484,5.246025836854613,1.8283769696268526,28.228705611592773,6.054427569775844,0.6619074396374119,0.262341756295335,0.07575080406725296,40.0,4.241433595698091,4.5242211081164765
25,5,7,40.38998715642861,1122.1949427962713,27.78398860217659,236.27025894732378,12.646045191401257,2.929787708092415,81.40118828843674,6.739435338132781,0.4272240831556325,0.4965172128736231,0.07625870397074436,53.333333333333336,4.4213017526681595,4.868312298304897
25,5,8,21.283963845148786,375.60178301351317,17.647172573031945,69.58814752637866,6.169249034730278,1.8413078704210095,32.4938777494015,6.30510848986335,0.6095177816975944,0.3008469557525331,0.08963526254987256,93.33333333333334,4.425084096660651,4.602829505483472
25,5,9,18.253743292353676,299.14911692330764,16.388370984082943,62.098436317809494,5.753306894535519,1.8101446383160682,29.665321867572366,6.117990088157442,0.6491052648463111,0.2681514063117134,0.08274332884197536,93.33333333333334,4.333025021249233,4.54115434264309
25,5,10,21.846216696347557,454.58118028681,20.80823359967911,95.97900396340945,7.431061369064507,2.090169769599004,43.49274082880354,6.469947561300192,0.5667696114990622,0.32286662176454356,0.11036376673639413,75.0,4.726287224429938,4.696045663227824
25,5,11,15.565643286197496,251.76024856123166,16.17409855360586,54.05774440514079,5.26627630770955,1.830717699996978,29.610208503581767,5.766773869594164,0.705605874826037,0.22510146454060256,0.06929266063336047,93.33333333333334,4.093362970268282,4.431331375559717
25,5,12,19.400582684051745,394.16299838696057,20.317070100733748,75.46273938267048,6.2223320029365095,1.776086602267953,36.08487600325201,6.351097608637943,0.6128406377024829,0.28103215681575056,0.10612720548176655,53.333333333333336,4.5842953079493425,4.5601204214352276
25,5,13,23.207332079804186,453.9163198920151,19.559177174313312,93.14961375319294,7.181346943194122,1.9797671528863807,38.72261650719055,6.541022368266278,0.5598179952791471,0.3301972949772352,0.10998470974361764,53.333333333333336,4.736442022869148,4.700721659795693
25,5,14,16.496782849214508,275.9246245071688,16.725965724905382,54.33368911330152,5.274323237899123,1.7968072683133651,30.05333678407021,5.918767607566455,0.6788670204923312,0.24756175181400475,0.0735712276936642,93.33333333333334,4.19277576864804,4.480979995205524
25,5,15,17.25119899575125,262.0817485973685,15.192088889700706,52.89792228776187,5.238744914285729,1.7282386876454643,26.255555765329586,5.912872349666382,0.6889864474424385,0.2325871587900968,0.07842639376746467,80.0,4.166106921401812,4.445695098618041
25,5,16,27.71286383291103,789.517362988352,28.48920154007119,211.01285978887927,11.243804454215171,2.4382747327672343,69.46450027186896,6.665186886167264,0.49501108815742284,0.4090452226654857,0.09594368917709148,93.33333333333334,4.490863687291236,4.777188591284697
25,5,17,15.642399840522135,272.435074547531,17.41644999009546,68.71388390031464,5.912621872518243,1.8541005086527207,32.29184878556067,5.981546475433172,0.6726439663073698,0.24245795152368993,0.08489808216894025,93.33333333333334,4.2879023097482705,4.460291691266672
25,5,18,17.61990783291985,293.6497053552628,16.665791225458484,52.133099700807236,5.134228757903943,1.6929989489375319,28.21516702791355,6.1746491194899615,0.6400955283750237,0.26937636211844374,0.09052810950653262,106.66666666666667,4.358429689390736,4.516510083659508
25,5,19,19.1652448213439,380.3730131800006,19.84702082993418,71.20968455671424,6.146436025062038,1.8340421514795486,36.400272783391905,6.287299966418152,0.6206581274808034,0.28303979405181445,0.09630207846738217,106.66666666666667,4.535114252343865,4.5761645180261326
25,5,20,28.3874876069548,954.9688346104929,33.640484421612925,368.4191935180686,14.768479645212864,2.4345366160356123,81.89899110559226,6.193643691381583,0.6304262751317451,0.2877888020330461,0.0817849228352088,53.333333333333336,4.761056765387287,4.896129922095136
25,5,21,20.966706341154072,401.2363970482435,19.136834871421115,76.21304194600833,6.334815475100456,1.8324767384755214,35.06780474992639,6.1150183764662875,0.6560100755710769,0.26370417527789386,0.08028574915102904,100.0,4.307097955086394,4.537888265288368
25,5,22,24.704659540385197,503.5512070174237,20.382843414387416,80.18866576171315,6.6815422708978005,1.9192708525780955,39.12019725789715,6.375245455176507,0.5864085745080304,0.319112924043135,0.0944785014488346,160.0,4.459334938462808,4.635532283449132
25,5,23,24.49964851165656,543.8769571411558,22.199377957703657,101.4008883226754,7.405144888346965,1.974300176370788,43.82823581721611,6.3240638196789964,0.5996607071287852,0.31939175109465257,0.08094754177656228,40.0,4.503824979343827,4.641702743395529
25,5,24,19.552208511062734,373.6301242809823,19.10935657573315,67.29966210667988,5.947872619090966,1.7958504144382106,34.317545926177914,6.242738509337606,0.6349349613803101,0.2674486710539143,0.09761636756577563,56.66666666666667,4.503770111525343,4.5598016299731885
25,5,25,24.116371384299125,560.8560616786264,23.256237546738465,111.2758616393124,7.824206522722809,2.1112641278578375,49.10006008136948,6.1665202687470035,0.6167987808641214,0.32100130283074735,0.06219991630513114,58.333333333333336,4.148128864893748,4.590028156032405
25,5,26,20.385472945933138,385.9819612451282,18.9341675941902,62.28488988931872,5.822858298155231,1.7986462972030792,34.05587043391273,6.273478962894545,0.6150770745412489,0.2901998017209743,0.09472312373777662,53.333333333333336,4.470176161835145,4.571150484050722
25,5,27,43.49082040839005,1214.6097835049165,27.927957488486456,276.845882763431,14.239016704187865,3.235617448011636,90.36418653707402,6.472123872024847,0.44372625926297204,0.517086083626336,0.039187657110692,53.333333333333336,4.383215953074998,4.864800174525474
25,5,28,16.54845167889008,263.3917436052677,15.91639802418867,53.81215233173341,5.247970096672835,1.7397121168175258,27.68995049877156,5.932624689366744,0.6800995753930007,0.2413599408792367,0.07854048372776258,93.33333333333334,4.240198948123542,4.470951261786038
25,5,29,20.141976662744757,389.5439764352365,19.339908041684385,66.49614728184288,5.894013886982673,1.806906138388629,34.945398556391126,6.206896381580636,0.6393813661836898,0.2697902061697534,0.09082842764655667,75.0,4.198502318825278,4.517637892199101
25,5,30,16.730371155069758,253.0966509927879,15.127975861796271,42.21583886288477,4.555581248664584,1.627437070745575,24.61982872283149,5.965934089534665,0.693376258821774,0.22226461826966762,0.08435912290855845,53.333333333333336,4.171081327900203,4.394685377483261
25,5,31,20.477370613099357,397.13590280020225,19.393891447476893,79.73344658856831,6.649988735634607,1.9094488559239373,37.03164383629778,6.380117273104672,0.6024950471202879,0.29270821903757277,0.10479673384213922,80.0,4.643746270373721,4.62425673485744
25,5,32,28.443855922261083,697.0019593592798,24.50448213716986,135.43428689495266,8.718933440080667,2.171372182916842,53.20835086943328,6.4211055563855535,0.548602074023991,0.38146053326429785,0.0699373927117112,66.66666666666667,4.291028625297272,4.697112989003665
25,5,33,18.216810673176887,345.7521188198861,18.979838184791834,84.04974874844702,6.7472288074620845,1.9037895821316575,36.13361820675132,6.427746533065829,0.5910302619184101,0.2974977722575752,0.11147196582401467,93.33333333333334,4.636984242260906,4.590593657646686
25,5,34,16.140167254089917,275.68924741194184,17.080941174391004,62.96728888769299,5.685972471744926,1.829050301760221,31.24190060936845,5.9346504885773195,0.6717882835021067,0.2506594052169127,0.07755231128098067,93.33333333333334,4.241547630289594,4.485692876350467
25,5,35,16.181255990300198,279.7794680688797,17.290343112833305,65.3513738887812,5.771262016331025,1.823379090934351,31.52685010702101,5.972131008905215,0.6673567372734568,0.2507432769769504,0.08189998574959291,93.33333333333334,4.283427111713298,4.487062605841677
25,5,36,24.897937630370954,576.541604907118,23.15619925900377,106.09626147348894,7.6119790828011284,2.004774928129385,46.42296770521901,6.50944626901263,0.55827091838631,0.34085336094505414,0.10087572066863577,66.66666666666667,4.413399512081497,4.6437562995412485
25,5,37,28.66061169761872,631.1956882145338,22.023105957189916,110.74955829000514,8.024698854414911,2.1502675811785648,47.355570776605994,6.509925679529803,0.5435471222875609,0.36650082306618237,0.08995205464625676,80.0,4.6856776174101755,4.751582545540622
25,5,38,26.053015364544844,558.325431271113,21.430357425380006,91.96720934231183,7.153093884258742,1.9855206526251301,42.55041726123031,6.440468625163651,0.5766531757871584,0.3261509808244765,0.09719584338836508,60.0,4.393279489233997,4.635836783083366
